OTU_97.12802	1	0	0	0	0	0	2	0	0	0	5	0	2	66	12	0	1	5	29	2	6	1	0	1	0	0	0	0	0	0	1	0	3	4	1	0	0	1	0	1	0	0	0	0	0	0	0	17	0	0	3	0	0	0	0	0	0	0	0	0
OTU_97.1321	28	0	2	4	1	1	19	1	26	1	0	10	1	26	0	0	0	2	2	30	6	5	3	15	7	30	0	2	4	0	7	0	3	3	4	0	0	1	2	0	6	0	1	1	0	1	1	31	0	0	10	0	0	1	0	0	1	5	0	0
OTU_97.13391	0	0	1	0	1	0	1	0	3	6	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	4	1	4	0	0	0	9	0	0	0	11	0	5	5	14	1	0	10	5	1	6	1	1	0	0	1	8	1	3	19	0	0	1	0	0
OTU_97.1343	14	5	9	4	4	3	2	3	3	8	0	1	1	8	3	0	1	1	19	14	2	11	7	1	0	3	0	0	0	0	0	1	1	0	0	0	0	4	2	1	1	0	1	2	4	3	2	1	0	1	1	0	0	1	4	0	1	1	0	0
OTU_97.14058	0	3	7	0	4	0	1	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	2	0
OTU_97.14186	2	0	0	1	0	0	22	1	9	1	1	9	0	7	0	0	2	1	59	88	7	20	0	1	0	29	3	2	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.14368	3	0	0	6	0	0	28	1	12	0	0	0	0	2	0	0	0	2	1	9	25	0	0	0	4	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	3	0	0	1	0	0	0	2	0	0
OTU_97.145	0	0	1	0	4	2	1	0	15	1	0	4	0	3	0	0	0	1	0	9	9	0	12	2	1	0	8	5	2	0	0	2	0	0	0	1	0	2	6	3	1	0	3	1	1	6	4	4	4	1	0	4	0	1	0	0	0	11	0	0
OTU_97.14680	0	3	1	0	0	0	3	1	7	4	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	4	0	2	0	0	0	7	0	1	0	3	0	3	1	11	0	0	4	12	0	2	1	1	0	0	0	33	1	2	30	0	0	1	0	0
OTU_97.14804	0	0	42	0	7	0	0	0	0	2	7	0	0	39	0	1	0	0	0	0	0	0	17	0	2	0	23	0	7	2	0	2	0	0	13	11	0	0	0	119	0	0	0	0	4	4	0	0	1	0	7	22	0	0	70	5	1	1	0	15
OTU_97.14837	84	0	8	6	0	5	5	3	16	4	0	8	0	49	0	0	0	5	22	18	3	2	5	24	8	29	1	2	12	3	30	0	0	10	6	0	0	2	5	3	10	0	1	0	0	6	0	9	0	0	6	0	0	5	2	0	0	26	0	0
