bm_700098550	bm_700105215	bm_700107881	bm_700111304	bm_700033225	bm_700101232	bm_700038348	bm_700021685	bm_700105839	bm_700024343	bm_700103610	bm_700106935	bm_700113555	bm_700014977	bm_700024502	bm_700024400	bm_700024745	bm_700014787	bm_700114172	bm_700038535	bm_700106343	bm_700105158	bm_700110595	bm_700102856	bm_700107938	bm_700114223	bm_700023545	bm_700098275	bm_700101084	bm_700096275	td_700111302	td_700021683	td_700037690	td_700111162	td_700023227	td_700110760	td_700113058	td_700106987	td_700095359	td_700111991	td_700038533	td_700114709	td_700102911	td_700106554	td_700107936	td_700099294	td_700097694	td_700114434	td_700024790	td_700099809	td_700107381	td_700014785	td_700024089	td_700105156	td_700038959	td_700095219	td_700023439	td_700105623	td_700024500	td_700038744
bm_700103610	-0.350825462477288	-0.183376406216423	-0.331925869716266	-0.223130249015494	-0.45985300104857	-0.487784709133052	-0.271232572872024	-0.444623285933103	-0.237188162403505	-0.23312878676837	0	-0.335568231415535	-0.22602514195551	-0.293280724685229	-0.24436211409186	-0.224693767142115	-0.188807901409432	-0.288528754584853	-0.16515398142811	-0.220485312772701	-0.154459752732812	-0.336728147510843	-0.436382958136008	-0.385913337688364	-0.438827482664011	-0.183081902844516	-0.384568023148586	-0.330393873027654	-0.471962968432203	-0.388671683523358	-0.265718091782408	-0.262116069068855	-0.58137354060115	-0.327991010467889	-0.339202912877456	-0.595538241574441	-0.55953187410328	-0.397074764828594	-0.551968939418273	-0.364046178267458	-0.508786064474162	-0.275949158083851	-0.441610109618884	-0.591223388814927	-0.261614537376772	-0.36760128392818	-0.380985136663702	-0.388700871838984	-0.521062550477843	-0.307200008698985	-0.297352756405273	-0.352857097980053	-0.441366218230355	-0.514457490227487	-0.492021234515465	-0.361861400679935	-0.544234416493291	-0.455353831121281	-0.480316402820175	-0.488957246504655
bm_700106935	-0.308890139692841	-0.349596997898993	-0.395561489384265	-0.262722471811151	-0.433762486450111	-0.309361828231117	-0.447480058773144	-0.250209833064332	-0.253030359839973	-0.44592030501857	-0.335568231415535	0	-0.361333468680525	-0.332558696492716	-0.474920227047559	-0.42008052077925	-0.393772260754565	-0.398139095594298	-0.279494041176673	-0.450085619919053	-0.322560033703132	-0.475588790661532	-0.269086407139507	-0.319186473626921	-0.352561444787681	-0.299091703465233	-0.266306476791599	-0.23158236141348	-0.405363951748034	-0.293886016742584	-0.483188419456209	-0.45940991256685	-0.677746620907037	-0.535782424616217	-0.541890520288968	-0.703044540212361	-0.663100475939933	-0.604103462719834	-0.641654062595364	-0.555015335658102	-0.640425269819705	-0.500360658194545	-0.59743846077739	-0.69107603902334	-0.478956410077082	-0.535444187064148	-0.567294204640611	-0.509088437617637	-0.64000720177594	-0.527165187612882	-0.438750500109991	-0.524378637097321	-0.598012926486563	-0.615471513245615	-0.600366113614501	-0.558874237542894	-0.669315193327675	-0.618549676263893	-0.624473975397443	-0.625041796574306
bm_700113555	-0.306011022166261	-0.211319335583578	-0.310372749514209	-0.299994927187169	-0.45731142274043	-0.449817584203777	-0.319365001860612	-0.441794460083383	-0.220109918701817	-0.251782199218111	-0.22602514195551	-0.361333468680525	0	-0.282410828697682	-0.284884357566065	-0.206500600938907	-0.244308236604001	-0.23208672854464	-0.20444386718	-0.271795979383678	-0.233229018317161	-0.328792228473582	-0.393120603039358	-0.376124459812757	-0.36492433583131	-0.217335083260042	-0.377444560477527	-0.342262038110253	-0.440118313569406	-0.307665687830828	-0.35136345005877	-0.297322518829212	-0.640943161085803	-0.376568200476248	-0.405541953464951	-0.668635787597744	-0.62751445859446	-0.473827636014568	-0.605217681996307	-0.3995436230605	-0.59135740761324	-0.324266542421333	-0.523762097918805	-0.654296817128252	-0.304057346706966	-0.433157742428223	-0.45571160216884	-0.457499657403727	-0.580928607806834	-0.383141276835342	-0.345141593889843	-0.358248146867336	-0.493108782007902	-0.576542615253662	-0.562897964911418	-0.412630153354464	-0.611423351664796	-0.513817731951961	-0.559001049415582	-0.562492773758242
bm_700014977	-0.200818056846221	-0.29065610304986	-0.220546910151861	-0.248027485245089	-0.347142155032179	-0.421034693993895	-0.286559772427133	-0.388115057180355	-0.250988158652447	-0.266593913244268	-0.293280724685229	-0.332558696492716	-0.282410828697682	0	-0.35358213211078	-0.271123624557322	-0.308190431757319	-0.243064733568231	-0.267402385144081	-0.327095500309982	-0.309222856026935	-0.385272003770525	-0.322784658553723	-0.254264763814628	-0.293135146479678	-0.278423522519751	-0.308566729247207	-0.217109927227756	-0.347451987351441	-0.227561022739035	-0.289394100827941	-0.296083459967212	-0.550367060538523	-0.358995869121967	-0.355246894705558	-0.565364853934918	-0.533267843663509	-0.426483277978272	-0.498298418334607	-0.34993037335995	-0.479869698837797	-0.320944739176733	-0.415574267686679	-0.578051995070636	-0.337945367460525	-0.378198982183661	-0.375223037178391	-0.3575523707018	-0.507360266563224	-0.34331199911554	-0.30116587402588	-0.318565282648254	-0.43360233704093	-0.489573292611244	-0.471983539313903	-0.376191461915575	-0.522684761868419	-0.446723869447426	-0.459539836200363	-0.474387299619977
bm_700024502	-0.371786459873093	-0.293723731757618	-0.376038483222492	-0.364497039627086	-0.453503244680623	-0.558667803500318	-0.285536374420164	-0.553899677834224	-0.315033120969701	-0.238647590939605	-0.24436211409186	-0.474920227047559	-0.284884357566065	-0.35358213211078	0	-0.20221327069231	-0.312274998356208	-0.291713121260879	-0.293287712704231	-0.124801867701362	-0.26269108218692	-0.251845128790656	-0.515064961738691	-0.415580284926339	-0.42542166750013	-0.314785629501829	-0.482305951752605	-0.393507097140325	-0.512148565634737	-0.429224538366214	-0.305161381510291	-0.314821620588843	-0.506734143510419	-0.302987150983968	-0.338183737175156	-0.575937595527208	-0.452724349528539	-0.333765086083939	-0.443139453212448	-0.285896378282792	-0.472471275255904	-0.250394360096468	-0.386790909728488	-0.494681515198801	-0.222158341447484	-0.334864602929034	-0.320580131198221	-0.355386250029538	-0.479914553040006	-0.301848211863833	-0.301212348797161	-0.260251603249592	-0.365397485427377	-0.421006773927729	-0.408623331053421	-0.304538519888299	-0.467967977087149	-0.356373430241995	-0.422906827484441	-0.412780645266978
bm_700024400	-0.27904187699601	-0.25242075949742	-0.262387445102895	-0.281517195217847	-0.395806788025807	-0.546377562487742	-0.237276023548104	-0.518784397236632	-0.254438622587663	-0.18356722824463	-0.224693767142115	-0.42008052077925	-0.206500600938907	-0.271123624557322	-0.20221327069231	0	-0.244843131703984	-0.186740141011624	-0.2318548568856	-0.154639032833759	-0.24264375417561	-0.204284246602839	-0.477045388669649	-0.344905093929886	-0.317202845977898	-0.258241074264623	-0.404535337426762	-0.332947950103173	-0.446681931677191	-0.361663019660231	-0.273648256312151	-0.257355424534201	-0.52224868119138	-0.291881620083537	-0.285838037444832	-0.560953002824258	-0.498798310849417	-0.353498221432175	-0.503129082343737	-0.259842473397698	-0.451136019767167	-0.181478241499877	-0.380957638634502	-0.53969520927979	-0.167295350559905	-0.331459658522986	-0.317277891039046	-0.353708237042743	-0.465347733474348	-0.256764594303655	-0.242948367869273	-0.214422082068006	-0.348429619969701	-0.455726961177242	-0.441667505024146	-0.317382881262483	-0.481357614776183	-0.377753607166265	-0.426325976642662	-0.432102470095842
bm_700024745	-0.344189480969844	-0.267378075958908	-0.304887849337388	-0.244393246213815	-0.401236246246715	-0.499276756773203	-0.296390473480215	-0.507789519332943	-0.216122900537228	-0.275833455477	-0.188807901409432	-0.393772260754565	-0.244308236604001	-0.308190431757319	-0.312274998356208	-0.244843131703984	0	-0.309739024064297	-0.237886233281451	-0.281952340889801	-0.22053568988289	-0.325965701237663	-0.468152470803048	-0.375548483164769	-0.410183765871222	-0.273773075787032	-0.422121822618162	-0.316994954343759	-0.429069513713071	-0.388622029842936	-0.305723833282497	-0.231745836836756	-0.546706200685093	-0.356270616477072	-0.327648315344455	-0.557599884845403	-0.525960825395245	-0.389881994492461	-0.556282953222819	-0.390741302000878	-0.486917116552118	-0.292255826447857	-0.448544445791141	-0.554912664781216	-0.30259161478629	-0.388228458039435	-0.421273986853109	-0.407698028501695	-0.492978329502669	-0.320018497954228	-0.313362074981335	-0.357457652170433	-0.423803317611601	-0.486504829989297	-0.461957929105717	-0.389040379887621	-0.530743239827978	-0.457363579664368	-0.474256934568429	-0.486318209775877
bm_700014787	-0.261445233963276	-0.274045557742503	-0.283600671623621	-0.322419585875384	-0.386168766281849	-0.503919600078585	-0.273991097686985	-0.488877843138186	-0.253617288822995	-0.22811131197906	-0.288528754584853	-0.398139095594298	-0.23208672854464	-0.243064733568231	-0.291713121260879	-0.186740141011624	-0.309739024064297	0	-0.272812907406945	-0.261627027873367	-0.260335682361958	-0.293829324953172	-0.408200302635069	-0.328985419141475	-0.311083465799714	-0.250604064447231	-0.389312809397669	-0.340678844452036	-0.425267352115093	-0.30843664908162	-0.310507770013587	-0.311354158105615	-0.57768458852262	-0.366548198516389	-0.29464777628829	-0.592483265746545	-0.553001460744299	-0.397950548453867	-0.551225878103677	-0.280241606538121	-0.462204686524811	-0.254900055279468	-0.415678314775067	-0.586760920848407	-0.230777470890329	-0.390025075778324	-0.381999931325871	-0.409049652223184	-0.521693024749677	-0.288984102347585	-0.272762505573315	-0.210940621397666	-0.372751660946446	-0.503703490574634	-0.49313165080095	-0.379437008978415	-0.54143171674152	-0.41766168420953	-0.461103849920186	-0.492319666542362
bm_700114172	-0.255537508354393	-0.124726509469452	-0.277887784127168	-0.172996327719636	-0.449664016795474	-0.397729994639981	-0.299355515443607	-0.396020447598035	-0.185609450105708	-0.281528497982457	-0.16515398142811	-0.279494041176673	-0.20444386718	-0.267402385144081	-0.293287712704231	-0.2318548568856	-0.237886233281451	-0.272812907406945	0	-0.275422397816563	-0.195798977574081	-0.314434289795755	-0.357999637116991	-0.326846596804395	-0.379075894779174	-0.139431947081562	-0.306170557191719	-0.245646354610496	-0.394434304968901	-0.31422374386068	-0.323283028384435	-0.27524504497263	-0.622696855380476	-0.352912188106967	-0.391529475349119	-0.639707034078117	-0.59828000024589	-0.4549394766582	-0.579495968982499	-0.41009879121572	-0.571610600811134	-0.315897864278974	-0.501966918555534	-0.627282339403185	-0.304404386505016	-0.395741006102007	-0.429131542484764	-0.431535313221783	-0.552457387715076	-0.372866966391874	-0.318638892283813	-0.354336186162513	-0.484807257877248	-0.550946447244666	-0.533286665752898	-0.386858993734149	-0.592095817183866	-0.50260819906286	-0.539655981315514	-0.544627587167177
bm_700038535	-0.335382857850159	-0.270722009560282	-0.353259761457684	-0.335554473424923	-0.421679993649061	-0.586044771850502	-0.266408898167381	-0.557380318562623	-0.306274570324754	-0.219847769352802	-0.220485312772701	-0.450085619919053	-0.271795979383678	-0.327095500309982	-0.124801867701362	-0.154639032833759	-0.281952340889801	-0.261627027873367	-0.275422397816563	0	-0.286861054768001	-0.169853238462311	-0.518598560940825	-0.383404051401675	-0.409575619634464	-0.303587934219445	-0.474384743077175	-0.390294305040766	-0.470594550782951	-0.408904388637962	-0.304632204503128	-0.281657758983442	-0.510966473193608	-0.304852212752496	-0.333179266359882	-0.584683845048957	-0.458527386205451	-0.337476548755122	-0.461252823609207	-0.267289960568184	-0.47547709268598	-0.225217721101749	-0.395281546122	-0.495503710756528	-0.180409226531218	-0.338192822949185	-0.321096833628161	-0.361334577115701	-0.482402494674883	-0.304295913394258	-0.289700592768219	-0.226883021170595	-0.334697051628694	-0.426255722674497	-0.415661179699426	-0.307256332909325	-0.473253035981342	-0.324884184569021	-0.433488390115547	-0.41730462475906
